ape;m;st8
23.44Z;7;3
23.49Z;2;3
23.51Z;6;3
23.61Z;8;3
23.62Z;4;3
23.63Z;5;3
23.64Z;2;3
23.69Z;3;3
23.70Z;2;3
23.91Z;1;3
23.99Z;1;3
24.10Z;2;3
24.20Z;3;3
24.31Z;5;3
24.33Z;2;3
24.34Z;3;3
24.41Z;3;3
24.42Z;4;3
24.43Z;1;3
24.44Z;2;3
24.45Z;5;3
24.46Z;4;3
24.52Z;3;3
24.53Z;4;3
24.54Z;9;3
25.11Z;2;3
25.12Z;8;3
25.21Z;7;3
25.29Z;1;3
25.30Z;7;3
25.40Z;4;3
25.50A;4;3
25.50B;8;3
25.61Z;1;3
25.62A;6;3
25.62B;2;3
25.71Z;8;3
25.72Z;3;3
25.73A;6;3
25.73B;7;3
25.91Z;7;3
25.92Z;9;3
25.93Z;7;3
25.94Z;4;3
25.99A;9;3
25.99B;7;3
26.11Z;3;3
26.12Z;5;3
26.20Z;9;3
26.30Z;9;3
26.40Z;7;3
26.51A;3;3
26.51B;1;3
26.52Z;7;3
26.60Z;1;3
26.70Z;3;3
26.80Z;4;3
27.11Z;9;3
27.12Z;5;3
27.20Z;1;3
27.31Z;8;3
27.32Z;4;3
27.33Z;4;3
27.40Z;9;3
27.51Z;9;3
27.52Z;4;3
27.90Z;9;3
28.11Z;6;3
28.12Z;7;3
28.13Z;6;3
28.14Z;1;3
28.15Z;2;3
28.21Z;3;3
28.22Z;6;3
28.23Z;5;3
28.24Z;2;3
28.25Z;5;3
28.29A;2;3
28.29B;2;3
28.30Z;1;3
28.41Z;9;3
28.49Z;5;3
28.91Z;8;3
28.92Z;7;3
28.93Z;8;3
28.94Z;5;3
28.95Z;1;3
28.96Z;7;3
28.99A;1;3
28.99B;9;3
29.10Z;8;3
29.20Z;3;3
29.31Z;3;3
29.32Z;1;3
30.11Z;8;3
30.12Z;5;3
30.20Z;9;3
30.30Z;3;3
30.40Z;9;3
30.91Z;2;3
30.92Z;2;3
30.99Z;5;3
31.01Z;3;3
31.02Z;9;3
31.03Z;4;3
31.09A;6;3
31.09B;9;3
32.11Z;8;3
32.12Z;3;3
32.13Z;6;3
32.20Z;3;3
32.30Z;4;3
32.40Z;5;3
32.50A;7;3
32.50B;9;3
32.91Z;5;3
32.99Z;7;3
33.11Z;9;3
33.12Z;9;3
33.13Z;2;3
33.14Z;8;3
33.15Z;5;3
33.16Z;3;3
33.17Z;8;3
33.19Z;4;3
33.20A;4;3
33.20B;9;3
33.20C;1;3
33.20D;4;3
35.11Z;4;3
35.12Z;3;3
35.13Z;5;3
35.14Z;1;3
35.21Z;7;3
35.22Z;7;3
35.23Z;3;3
35.30Z;3;3
41.10A;4;3
41.10B;3;3
41.10C;6;3
41.10D;9;3
41.20A;4;3
41.20B;2;3
42.11Z;7;3
42.12Z;6;3
42.13A;2;3
42.13B;8;3
42.21Z;8;3
42.22Z;3;3
42.91Z;7;3
42.99Z;8;3
43.11Z;1;3
43.12A;8;3
43.12B;7;3
43.13Z;4;3
43.21A;4;3
43.21B;9;3
43.22A;3;3
43.22B;2;3
43.29A;2;3
43.29B;1;3
43.31Z;2;3
43.32A;7;3
43.32B;5;3
43.32C;8;3
43.33Z;4;3
43.34Z;2;3
43.39Z;3;3
43.91A;2;3
43.91B;2;3
43.99A;3;3
43.99B;6;3
43.99C;5;3
43.99D;5;3
43.99E;2;3
46.11Z;5;4
46.12A;6;4
46.12B;2;4
46.13Z;3;4
46.14Z;4;4
46.15Z;4;4
46.16Z;4;4
46.17A;1;4
46.17B;6;4
46.18Z;4;4
46.19A;1;4
46.19B;1;4
46.21Z;3;4
46.22Z;6;4
46.23Z;6;4
46.24Z;1;4
46.31Z;2;4
46.32A;3;4
46.32B;3;4
46.32C;6;4
46.33Z;3;4
46.34Z;5;4
46.35Z;5;4
46.36Z;5;4
46.37Z;4;4
46.38A;1;4
46.38B;6;4
46.39A;3;4
46.39B;4;4
46.41Z;1;4
46.42Z;4;4
46.43Z;1;4
46.44Z;2;4
46.45Z;4;4
46.46Z;1;4
46.47Z;1;4
46.48Z;5;4
46.49Z;1;4
46.51Z;1;4
46.52Z;2;4
46.61Z;5;4
46.62Z;3;4
46.63Z;6;4
46.64Z;5;4
46.65Z;1;4
46.66Z;3;4
46.69A;1;4
46.69B;5;4
46.69C;6;4
46.71Z;6;4
46.72Z;2;4
46.73A;4;4
46.73B;4;4
46.74A;1;4
46.74B;3;4
46.75Z;2;4
46.76Z;3;4
46.77Z;4;4
46.90Z;2;4
47.11C;3;5
47.11D;2;5
47.11F;2;5
47.19B;2;5
10.13B;5;6
10.71C;7;6
10.71D;3;6
45.11Z;4;6
45.19Z;8;6
45.20A;1;6
45.20B;6;6
45.31Z;8;6
45.32Z;6;6
45.40Z;1;6
47.11A;5;6
47.11B;1;6
47.11E;8;6
47.19A;6;6
47.21Z;9;6
47.22Z;3;6
47.23Z;9;6
47.24Z;4;6
47.25Z;4;6
47.26Z;3;6
47.29Z;5;6
47.30Z;7;6
47.41Z;1;6
47.42Z;9;6
47.43Z;6;6
47.51Z;4;6
47.52A;1;6
47.52B;2;6
47.53Z;5;6
47.54Z;6;6
47.59A;8;6
47.59B;5;6
47.61Z;8;6
47.62Z;7;6
47.63Z;3;6
47.64Z;9;6
47.65Z;1;6
47.71Z;8;6
47.72A;6;6
47.72B;5;6
47.73Z;7;6
47.74Z;1;6
47.75Z;9;6
47.76Z;3;6
47.77Z;8;6
47.78A;9;6
47.78B;9;6
47.78C;4;6
47.79Z;7;6
47.81Z;7;6
47.82Z;3;6
47.89Z;7;6
47.91A;3;6
47.91B;6;6
47.99A;4;6
47.99B;4;6
53.10Z;8;6
55.10Z;1;6
55.20Z;8;6
55.30Z;2;6
55.90Z;1;6
56.10A;7;6
56.10B;4;6
56.10C;3;6
56.21Z;6;6
56.29A;6;6
56.29B;2;6
56.30Z;7;6
36.00Z;3;7
49.10Z;1;7
49.20Z;1;7
49.31Z;5;7
49.32Z;4;7
49.39A;3;7
49.39B;1;7
49.41A;1;7
49.41B;5;7
49.41C;5;7
49.42Z;1;7
49.50Z;1;7
51.10Z;4;7
64.11Z;3;7
64.19Z;3;7
64.20Z;2;7
64.30Z;5;7
64.91Z;3;7
64.92Z;3;7
64.99Z;5;7
65.11Z;1;7
65.12Z;3;7
65.20Z;1;7
65.30Z;3;7
66.11Z;5;7
66.12Z;4;7
66.19A;2;7
66.19B;4;7
66.21Z;1;7
66.22Z;2;7
66.29Z;3;7
66.30Z;5;7
68.10Z;1;7
68.20A;2;7
68.20B;5;7
68.31Z;1;7
68.32A;5;7
68.32B;4;7
69.10Z;4;7
69.20Z;4;7
70.10Z;3;7
70.21Z;4;7
70.22Z;5;7
71.11Z;3;7
71.12A;1;7
71.20A;3;7
71.20B;3;7
72.11Z;1;7
72.19Z;5;7
72.20Z;1;7
74.10Z;1;7
74.20Z;1;7
74.30Z;1;7
74.90A;3;7
74.90B;2;7
78.10Z;5;7
78.20Z;3;7
78.30Z;3;7
80.10Z;2;7
80.20Z;5;7
80.30Z;2;7
84.11Z;3;7
84.12Z;3;7
84.13Z;4;7
84.21Z;2;7
84.22Z;4;7
84.23Z;1;7
84.30A;5;7
84.30B;3;7
84.30C;1;7
85.10Z;4;7
85.20Z;1;7
85.31Z;4;7
85.32Z;3;7
85.41Z;2;7
85.42Z;1;7
85.51Z;2;7
85.52Z;2;7
85.53Z;4;7
85.59A;3;7
85.59B;1;7
85.60Z;1;7
88.10A;5;7
88.10B;1;7
88.10C;4;7
88.91A;3;7
88.91B;2;7
88.99A;4;7
88.99B;2;7
94.11Z;2;7
94.12Z;2;7
94.20Z;3;7
94.91Z;4;7
94.92Z;2;7
94.99Z;5;7
99.00Z;5;7
50.10Z;3;8
50.20Z;3;8
50.30Z;2;8
50.40Z;3;8
51.21Z;2;8
52.10A;2;8
52.10B;1;8
52.21Z;1;8
52.22Z;2;8
52.23Z;2;8
52.24A;3;8
52.24B;2;8
52.29A;1;8
52.29B;1;8
53.20Z;2;8
